単語・フレーズ,タグ,サブタグ
station,,
statistic,,
statue,,
status,,
stay,,
steady,,
steal A from B,,
steam,,
steep,,
step,,
stew,,
stick,,
still,,
stimulate,,
stimulus,,
stock,,
stomachache,,
stop,,
store,,
storm,,
story,,
stove,,
strain,,
stranger,,
strategy,,
straw,,
strawberry,,
stream,,
street,,
strength,,
stress,,
stretch,,
strict,,
strike,,
string,,
strong,,
structure,,
struggle,,
student,,
study,,
stuff,,
style,,
subject,,
submit,,
subscription,,
substance,,
substitute,,
subtle,,
subway,,
succeed,,
success,,
successful,,
suddenly,,
suffer,,
sufficient,,
sugar,,
suggest,,
suggestion,,
suit,,
suitable,,
sum,,
summary,,
summer,,
summit,,
sunflower,,
sunlight,,
sunny,,
super,,
supermarket,,
superstition,,
supplier,,
supply,,
support,,
suppose,,
sure,,
surf,,
surface,,
surgeon,,
surgery,,
surprise,,
surprising,,
surround,,
survey,,
survival,,
survive,,
survivor,,
suspect,,
suspense,,
suspicion,,
suspicious,,
sustainable,,
sweater,,
sweet,,
sweet potato,,
swimming,,
sword,,
symbol,,
sympathy,,
symphony,,
symptom,,
system,,
T-shirt,,
table,,
table tennis,,
talent,,
talk,,
tall,,
tank,,
tap,,
tape,,
target,,
task,,
taste,,
tax,,
taxi,,
tea,,
team,,
teaspoon,,
technique,,
technology,,
teenager,,
television,,
tell,,
temperature,,
temporary,,
tempt,,
temptation,,
tend,,
tendency,,
tennis,,
tense,,
tension,,
tent,,
term,,
terrible,,
terrific,,
terrify,,
territory,,
terror,,
test,,
testimony,,
text,,
thank,,
thanks,,
theater,,
theft,,
theme,,
theory,,
therapist,,
therapy,,
thick,,
thief,,
thin,,
thing,,
think,,
thirst,,
thirsty,,
thorough,,
thoroughly,,
though,,
thought,,
thoughtful,,
thousand,,
thread,,
threat,,
threaten,,
thrive,,
thriving,,
through,,
throw,,
thumb,,
thunder,,
tidy,,
tie,,
tiger,,
tight,,
time,,
tiny,,
tip,,
title,,
toe,,
toilet,,
tolerance,,
tolerate,,
tomato,,
tongs,,
tongue,,
tool,,
tooth,,
top,,
topic,,
toss,,
touch,,
tough,,
tour,,
tour guide,,
tourist,,
tournament,,
towel,,
town,,
track,,
tractor,,
trade,,
tradition,,
traditional,,
traffic,,
tragedy,,
tragic,,
trail,,
train,,
trait,,
transform,,
transition,,
translate,,
transport,,
transportation,,
trap,,
travel,,
traveler,,
tray,,
treasure,,
treat,,
treatment,,
tree,,
tremble,,
tremendous,,
trend,,
trial,,
trip,,
tropical,,
trouble,,
truck,,
true,,
trust,,
truth,,
try,,
tuition,,
tulip,,
tuna,,
turkey,,
turn,,
twice,,
twist,,
type,,
typical,,
ugly,,
ultimate,,
umbrella,,
ume apricot (blossoms),,
uncle,,
uncomfortable,,
undergo,,
undergraduate,,
underground,,
underpants,,
undershirt,,
understand,,
understanding,,
undertake,,
underwear,,
uneasy,,
unemployed,,
unemployment,,
unexpected,,
unfair,,
unfortunate,,
unhappy,,
union,,
unique,,
unit,,
unite,,
unity,,
universe,,
university,,
unusual,,
upgrade,,
upset,,
urban,,
urge,,
urgent,,
usage,,
use,,
useful,,
usual,,
vacation,,
valuable,,
value,,
variety,,
various,,
vary,,
vast,,
vegetable,,
vehicle,,
vendor,,
venture,,
verbal,,
verify,,
vest,,
victim,,
victory,,
view,,
vigorous,,
village,,
vinegar,,
violence,,
violet,,
violin,,
virtual,,
virtue,,
virus,,
visible,,
vision,,
visit,,
visitor,,
visual,,
vital,,
vivid,,
vocabulary,,
voice,,
volcano,,
volleyball,,
volume,,
volunteer,,
vomit,,
vote,,
vulnerable,,
wage,,
waist,,
wait,,
waitress,,
wake,,
walk,,
wall,,
walnut,,
want,,
warm,,
warn,,
warning,,
wash,,
waste,,
watch,,
water,,
watermelon,,
wave,,
weak,,
wealth,,
weapon,,
wear,,
weather,,
wedding,,
week,,
weekday,,
weekend,,
weep,,
weigh,,
weight,,
weird,,
welcome,,
welfare,,
whale,,
whatever,,
wheelchair,,
whisper,,
white,,
whole,,
wide,,
widespread,,
wife,,
wild,,
wildlife,,
willing,,
window,,
wine,,
winter,,
wisdom,,
wise,,
wish,,
withdraw,,
witness,,
woman,,
wonder,,
wonderful,,
wool,,
work,,
worker,,
workplace,,
world,,
worldwide,,
worm,,
worry,,
worse,,
worship,,
worth,,
worthwhile,,
worthy,,
wrap,,
wrestling,,
wrist,,
write,,
writer,,
writing,,
yacht,,
yard,,
yarn,,
yawn,,
year,,
yellow,,
yellowtail,,
yield,,
yogurt,,
young,,
zebra,,
zipper,,
zoo,,
